ind_name,ind_id,Type,Definition,Pubmed_links
Reactive oxygen species 1 positive non-small cell lung cancer,C4302554,Neoplastic Process,,"Taletrectinib for the treatment of ROS-1 positive non-small cell lung cancer: a drug evaluation of phase I and II data. Different effects of crizotinib treatment in two non-small cell lung cancer patients with SDC4::ROS1 fusion variants. Comparison of PD-L1, EGFR, ALK, and ROS1 Status Between Surgical Samples and Cytological Samples in Non-Small Cell Lung Carcinoma. An ER-Targeting Iridium(III) Complex That Induces Immunogenic Cell Death in Non-Small-Cell Lung Cancer. EGFR mutation decreases FDG uptake in non‑small cell lung cancer via the NOX4/ROS/GLUT1 axis. CIP2A regulates cancer metabolism and CREB phosphorylation in non-small cell lung cancer. Serum reactive oxygen species modulator 1 (Romo1) as a potential diagnostic biomarker for non-small cell lung cancer. G protein-coupled estrogen receptor activates PI3K/AKT/mTOR signaling to suppress ferroptosis via SREBP1/SCD1-mediated lipogenesis. Comparison of PD-L1, EGFR, ALK, and ROS1 Status Between Surgical Samples and Cytological Samples in Non-Small Cell Lung Carcinoma. Canadian ROS proto-oncogene 1 study (CROS) for multi-institutional implementation of ROS1 testing in non-small cell lung cancer. EGFR mutation decreases FDG uptake in non‑small cell lung cancer via the NOX4/ROS/GLUT1 axis. Serum reactive oxygen species modulator 1 (Romo1) as a potential diagnostic biomarker for non-small cell lung cancer. YES1 as a potential target to overcome drug resistance in EGFR-deregulated non-small cell lung cancer. IL-17A promotes tumorigenesis and upregulates PD-L1 expression in non-small cell lung cancer. Glutathione peroxidase 2 overexpression promotes malignant progression and cisplatin resistance of KRAS‑mutated lung cancer cells. ROS-1 Fusions in Non-Small-Cell Lung Cancer: Evidence to Date. An ER-Targeting Iridium(III) Complex That Induces Immunogenic Cell Death in Non-Small-Cell Lung Cancer. G protein-coupled estrogen receptor activates PI3K/AKT/mTOR signaling to suppress ferroptosis via SREBP1/SCD1-mediated lipogenesis. An ER-Targeting Iridium(III) Complex That Induces Immunogenic Cell Death in Non-Small-Cell Lung Cancer. EGFR mutation decreases FDG uptake in non‑small cell lung cancer via the NOX4/ROS/GLUT1 axis. ETS-1 Induces Endothelial-Like Differentiation and Promotes Metastasis in Non-Small Cell Lung Cancer. Serum reactive oxygen species modulator 1 (Romo1) as a potential diagnostic biomarker for non-small cell lung cancer. High expression of AlkB homolog 5 suppresses the progression of non-small cell lung cancer by facilitating ferroptosis through m6A demethylation of SLC7A11. G protein-coupled estrogen receptor activates PI3K/AKT/mTOR signaling to suppress ferroptosis via SREBP1/SCD1-mediated lipogenesis. Spatial Analysis of NQO1 in Non-Small Cell Lung Cancer Shows Its Expression Is Independent of NRF1 and NRF2 in the Tumor Microenvironment. Canadian ROS proto-oncogene 1 study (CROS) for multi-institutional implementation of ROS1 testing in non-small cell lung cancer. EGFR mutation decreases FDG uptake in non‑small cell lung cancer via the NOX4/ROS/GLUT1 axis."
Primary Myelofibrosis,C0001815,Neoplastic Process,"Primary myelofibrosis is a condition characterized by the buildup of scar tissue (fibrosis) in the bone marrow, the tissue that produces blood cells. Because of the fibrosis, the bone marrow is unable to make enough normal blood cells. The shortage of blood cells causes many of the signs and symptoms of primary myelofibrosis.Initially, most people with primary myelofibrosis have no signs or symptoms. Eventually, fibrosis can lead to a reduction in the number of red blood cells, white blood cells, and platelets. A shortage of red blood cells (anemia) often causes extreme tiredness (fatigue) or shortness of breath. A loss of white blood cells can lead to an increased number of infections, and a reduction of platelets can cause easy bleeding or bruising.Because blood cell formation (hematopoiesis) in the bone marrow is disrupted, other organs such as the spleen or liver may begin to produce blood cells. This process, called extramedullary hematopoiesis, often leads to an enlarged spleen (splenomegaly) or an enlarged liver (hepatomegaly). People with splenomegaly may feel pain or fullness in the abdomen, especially below the ribs on the left side. Other common signs and symptoms of primary myelofibrosis include fever, night sweats, and bone pain.Primary myelofibrosis is most commonly diagnosed in people aged 50 to 80 but can occur at any age. ","Primary myelofibrosis: 2023 update on diagnosis, risk-stratification, and management. Thrombocytosis in children and adolescents-classification, diagnostic approach, and clinical management. Primary myelofibrosis: 2021 update on diagnosis, risk-stratification and management. NCCN Clinical Practice Guidelines in Oncology (NCCN Guidelines®), Myeloproliferative Neoplasms, 2023 Momelotinib: First Approval. Primary myelofibrosis: 2023 update on diagnosis, risk-stratification, and management. Primary myelofibrosis: 2021 update on diagnosis, risk-stratification and management. A provider's guide to primary myelofibrosis: pathophysiology, diagnosis, and management. Myelofibrosis biology and contemporary management. Pediatric Myeloproliferative Neoplasms. Primary myelofibrosis: 2021 update on diagnosis, risk-stratification and management. A provider's guide to primary myelofibrosis: pathophysiology, diagnosis, and management. Primary myelofibrosis and its targeted therapy. New prognostic scoring system for primary myelofibrosis based on a study of the International Working Group for Myelofibrosis Research and Treatment. Momelotinib versus danazol in symptomatic patients with anaemia and myelofibrosis (MOMENTUM): results from an international, double-blind, randomised, controlled, phase 3 study. Primary myelofibrosis: 2023 update on diagnosis, risk-stratification, and management. Momelotinib for the treatment of myelofibrosis with anemia. Management of myelofibrosis after ruxolitinib failure. SIMPLIFY-1: A Phase III Randomized Trial of Momelotinib Versus Ruxolitinib in Janus Kinase Inhibitor-Naïve Patients With Myelofibrosis. Primary myelofibrosis: 2021 update on diagnosis, risk-stratification and management. A clinical-molecular prognostic model to predict survival in patients with post polycythemia vera and post essential thrombocythemia myelofibrosis. Epidemiology of myelofibrosis, essential thrombocythemia, and polycythemia vera in the European Union. A double-blind, placebo-controlled trial of ruxolitinib for myelofibrosis. JAK inhibition with ruxolitinib versus best available therapy for myelofibrosis. Primary myelofibrosis: 2023 update on diagnosis, risk-stratification, and management. Myelofibrosis. Primary myelofibrosis: 2021 update on diagnosis, risk-stratification and management. Myelofibrosis biology and contemporary management. SIMPLIFY-1: A Phase III Randomized Trial of Momelotinib Versus Ruxolitinib in Janus Kinase Inhibitor-Naïve Patients With Myelofibrosis. Androgen use in bone marrow failures and myeloid neoplasms: Mechanisms of action and a systematic review of clinical data. Osteolytic bone lesions in patients with primary myelofibrosis: A systematic review. Interferon Therapy in Myelofibrosis: Systematic Review and Meta-analysis. Myelofibrosis: best practices, controversies and 2019 update. How common are myeloproliferative neoplasms? A systematic review and meta-analysis. Molecular resources"
Post-polycythemia vera myelofibrosis,C3805232,Neoplastic Process,"Progression of polycythemia vera characterized by decreased erythropoiesis and granulopoiesis, reticulin and collagen fibrosis of the bone marrow, leucoerythroblastic reaction in the peripheral blood, poikilocytosis, tear-drop shaped red blood cells, and splenomegaly. ",Characteristics and clinical significance of cytogenetic abnormalities in polycythemia vera. Neutrophilic leukocytosis in advanced stage polycythemia vera: hematopathologic features and prognostic implications. Diagnostic impact of bone marrow histopathology in polycythemia vera (PV). The therapy of myelofibrosis: targeting pathogenesis. Clinical and scientific advances in the Philadelphia-chromosome negative chronic myeloproliferative disorders. Characteristics and clinical significance of cytogenetic abnormalities in polycythemia vera. Neutrophilic leukocytosis in advanced stage polycythemia vera: hematopathologic features and prognostic implications. Diagnostic impact of bone marrow histopathology in polycythemia vera (PV). The therapy of myelofibrosis: targeting pathogenesis. Clinical and scientific advances in the Philadelphia-chromosome negative chronic myeloproliferative disorders. Characteristics and clinical significance of cytogenetic abnormalities in polycythemia vera. Neutrophilic leukocytosis in advanced stage polycythemia vera: hematopathologic features and prognostic implications. Karyotypic abnormalities in myelofibrosis following polycythemia vera. Clinical and scientific advances in the Philadelphia-chromosome negative chronic myeloproliferative disorders. Clinical and scientific advances in the Philadelphia-chromosome negative chronic myeloproliferative disorders.
Post-essential thrombocythemia myelofibrosis,C3805233,Neoplastic Process,Myelofibrosis that develops in a patient with history of essential thrombocythemia. ,"Essential Thrombocythemia and Post-Essential Thrombocythemia Myelofibrosis: Updates on Diagnosis, Clinical Aspects, and Management. Ruxolitinib therapy for myelofibrosis in Austria : Consensus on therapy management. Emerging drugs for the treatment of Myelofibrosis. Real-world clinical characteristics of post-essential thrombocythemia and post-polycythemia vera myelofibrosis. Pacritinib: First Approval. Fedratinib: First Approval. A clinical-molecular prognostic model to predict survival in patients with post polycythemia vera and post essential thrombocythemia myelofibrosis. JAK inhibition with ruxolitinib versus best available therapy for myelofibrosis. Real-world clinical characteristics of post-essential thrombocythemia and post-polycythemia vera myelofibrosis. Essential Thrombocythemia and Post-Essential Thrombocythemia Myelofibrosis: Updates on Diagnosis, Clinical Aspects, and Management. The evolving understanding of prognosis in post-essential thrombocythemia myelofibrosis and post-polycythemia vera myelofibrosis vs primary myelofibrosis. A clinical-molecular prognostic model to predict survival in patients with post polycythemia vera and post essential thrombocythemia myelofibrosis. The evolution and clinical relevance of prognostic classification systems in myelofibrosis. Pacritinib: First Approval. Fedratinib: First Approval. Emerging drugs for the treatment of Myelofibrosis. A clinical-molecular prognostic model to predict survival in patients with post polycythemia vera and post essential thrombocythemia myelofibrosis. JAK inhibition with ruxolitinib versus best available therapy for myelofibrosis. Real-world clinical characteristics of post-essential thrombocythemia and post-polycythemia vera myelofibrosis. Essential Thrombocythemia and Post-Essential Thrombocythemia Myelofibrosis: Updates on Diagnosis, Clinical Aspects, and Management. Emerging drugs for the treatment of Myelofibrosis. A clinical-molecular prognostic model to predict survival in patients with post polycythemia vera and post essential thrombocythemia myelofibrosis. JAK inhibition with ruxolitinib versus best available therapy for myelofibrosis. Essential Thrombocythemia and Post-Essential Thrombocythemia Myelofibrosis: Updates on Diagnosis, Clinical Aspects, and Management. Prediction of thrombosis in post-polycythemia vera and post-essential thrombocythemia myelofibrosis: a study on 1258 patients. The evolving understanding of prognosis in post-essential thrombocythemia myelofibrosis and post-polycythemia vera myelofibrosis vs primary myelofibrosis. A clinical-molecular prognostic model to predict survival in patients with post polycythemia vera and post essential thrombocythemia myelofibrosis. The evolution and clinical relevance of prognostic classification systems in myelofibrosis."
Bronchopneumonia due to Haemophilus influenzae,C4040491,Disease or Syndrome,,"The impact of respiratory tract infections on the nutritional state of children with cystic fibrosis. Bacteremia in children: etiologic agents, focal sites, and risk factors. Cefaclor advanced formulation versus cefaclor in the treatment of pneumonia. Comparison of loracarbef (LY163892) versus amoxicillin in the treatment of bronchopneumonia and lobar pneumonia. The impact of respiratory tract infections on the nutritional state of children with cystic fibrosis. Cefaclor advanced formulation versus cefaclor in the treatment of pneumonia. A combination of amoxicillin and clavulanic acid in the treatment of respiratory tract infections caused by amoxicillin-resistant haemophilus influenzae. Destructive pulmonary disease due to mixed anaerobic infection. Emergence of a multidrug-resistant Haemophilus influenzae strain causing chronic pneumonia in a patient with common variable immunodeficiency. In vitro and in vivo activities of meropenem and comparable antimicrobial agents against Haemophilus influenzae, including beta-lactamase-negative ampicillin-resistant strains. Cefaclor advanced formulation versus cefaclor in the treatment of pneumonia. A combination of amoxicillin and clavulanic acid in the treatment of respiratory tract infections caused by amoxicillin-resistant haemophilus influenzae. Destructive pulmonary disease due to mixed anaerobic infection. Bacteremia in children: etiologic agents, focal sites, and risk factors. The impact of respiratory tract infections on the nutritional state of children with cystic fibrosis. Bacteremia in children: etiologic agents, focal sites, and risk factors. Comparison of loracarbef (LY163892) versus amoxicillin in the treatment of bronchopneumonia and lobar pneumonia."
Legionnaires' Disease,C0023241,Disease or Syndrome,"A pneumonia caused by Legionella pneumophila and other Legionella species, which is characterized by fever, cough, progressive respiratory distress, and which is often accompanied by extrapulmonary manifestations. ","Recreational Waterborne Illnesses: Recognition, Treatment, and Prevention. Epidemiology and clinical management of Legionnaires' disease. Treatment of Legionnaires' disease. Legionnaires' disease. Legionnaires' disease in France. Legionnaires' disease. Legionella infection. Legionnaires' disease. Legionella prediction score. Legionnaires' disease. Legionella and Legionnaires' disease: 25 years of investigation. Legionella infection. Legionnaires' disease. Severe Pneumonia Caused by Legionella pneumophila: Differential Diagnosis and Therapeutic Considerations. Legionnaires' disease. Legionellosis. Legionella infection. Legionnaires' disease. Legionella prediction score. Legionella: a reemerging pathogen. Legionnaires' disease. Legionnaires' disease in France. β-Lactam monotherapy vs β-lactam-macrolide combination treatment in moderately severe community-acquired pneumonia: a randomized noninferiority trial. Legionella prediction score. Legionellosis in the occupational setting. An update on Legionella. The atypical pneumonias: clinical diagnosis and importance. Legionellosis. Therapeutical strategies in cavitary legionnaires' disease, two cases from the field and a systematic review. Meteorological conditions and Legionnaires' disease sporadic cases-a systematic review. Accuracy of diagnostic tests for Legionnaires' disease: a systematic review. Legionnaires' Disease in Hotels and Passenger Ships: A Systematic Review of Evidence, Sources, and Contributing Factors. An update on Legionella."
Pneumonia caused by Chlamydia pneumoniae,C4510691,Disease or Syndrome,,"Atypical pneumonia: Pathophysiology, diagnosis, and treatment. Bacterial Conjunctivitis in Childhood: Etiology, Clinical Manifestations, Diagnosis, and Management. Infection, its treatment and the risk for stroke. Bacterial pneumonia in kidney transplant recipients. Community-acquired pneumonia. Inflammation and atherosclerosis. Chlamydia pneumoniae and atherosclerosis. 3: Community-acquired pneumonia. Atypical pneumonia: Pathophysiology, diagnosis, and treatment. Bacterial Conjunctivitis in Childhood: Etiology, Clinical Manifestations, Diagnosis, and Management. Community-acquired pneumonia: An overview. Infection-related asthma. The atypical pneumonias: clinical diagnosis and importance. Atypical pneumonia: Pathophysiology, diagnosis, and treatment. Evolving Understanding of the Causes of Pneumonia in Adults, With Special Attention to the Role of Pneumococcus. Community-acquired pneumonia: An overview. Chlamydophila pneumoniae. The atypical pneumonias: clinical diagnosis and importance. The diagnosis of chronic endometritis in infertile asymptomatic women: a comparative study of histology, microbial cultures, hysteroscopy, and molecular microbiology. Bacterial Conjunctivitis in Childhood: Etiology, Clinical Manifestations, Diagnosis, and Management. Infection-related asthma. Infections caused by Chlamydophila pneumoniae. Chlamydophila pneumoniae. The diagnosis of chronic endometritis in infertile asymptomatic women: a comparative study of histology, microbial cultures, hysteroscopy, and molecular microbiology. Bacterial Conjunctivitis in Childhood: Etiology, Clinical Manifestations, Diagnosis, and Management. Chlamydia pneumoniae infection and lung cancer risk: a meta-analysis. The atypical pneumonias: clinical diagnosis and importance. 3: Community-acquired pneumonia. Prevalence of atypical pathogens in patients with severe pneumonia: a systematic review and meta-analysis. Chlamydia pneumoniae and Mycoplasma pneumoniae as Two Emerging Risk Factors in Atherosclerosis: Meta-Analysis Study and Systematic Review. Chlamydia pneumoniae and chronic asthma: Updated systematic review and meta-analysis of population attributable risk. Myositis and acute kidney injury in bacterial atypical pneumonia: Systematic literature review. Prevalence of Atypical Pathogens in Patients With Cough and Community-Acquired Pneumonia: A Meta-Analysis."
Gram-Negative Bacterial Infections,C0085423,Disease or Syndrome,Infections caused by bacteria that show up as pink (negative) when treated by the gram-staining method. ,"Efficacy and Safety of Ceftazidime-Avibactam for the Treatment of Carbapenem-Resistant Enterobacterales Bloodstream Infection: a Systematic Review and Meta-Analysis. Treatment Options for Carbapenem-resistant Gram-negative Bacterial Infections. Ceftazidime-Avibactam: A Review in the Treatment of Serious Gram-Negative Bacterial Infections. Gram-Negative Skin and Soft Tissue Infections. Global travel and Gram-negative bacterial resistance; implications on clinical management. Epidemiology of carbapenem-resistant Gram-negative infections globally. Capnocytophaga canimorsus – an underestimated danger after dog or cat bite – review of literature. Surgical site infections: epidemiology, microbiology and prevention. Epidemiology and Diagnostics of Carbapenem Resistance in Gram-negative Bacteria. Brain Abscess. Management of Pediatric Community-acquired Bacterial Pneumonia. Capnocytophaga canimorsus. Mycoplasma pneumoniae ecephalitis. Effect of Cefepime/Enmetazobactam vs Piperacillin/Tazobactam on Clinical Cure and Microbiological Eradication in Patients With Complicated Urinary Tract Infection or Acute Pyelonephritis: A Randomized Clinical Trial. Clinical data from studies involving novel antibiotics to treat multidrug-resistant Gram-negative bacterial infections. Efficacy and safety of cefiderocol or best available therapy for the treatment of serious infections caused by carbapenem-resistant Gram-negative bacteria (CREDIBLE-CR): a randomised, open-label, multicentre, pathogen-focused, descriptive, phase 3 trial. Treatment Options for Carbapenem-resistant Gram-negative Bacterial Infections. Seven Versus 14 Days of Antibiotic Therapy for Uncomplicated Gram-negative Bacteremia: A Noninferiority Randomized Controlled Trial. Incidence of infection with multidrug-resistant Gram-negative bacteria and vancomycin-resistant enterococci in carriers: a systematic review and meta-regression analysis. Gram-Negative Skin and Soft Tissue Infections. Surgical site infections: epidemiology, microbiology and prevention. Gram-negative bloodstream infections. Gram-negative bacteremia. Transcriptome profiles discriminate between Gram-positive and Gram-negative sepsis in preterm neonates. Gram-negative bloodstream infections and sepsis: risk factors, screening tools and surveillance. Gram-negative infections in pediatric and neonatal intensive care units of Latin America. Multidrug-resistant Gram-negative bacterial infections: are you ready for the challenge? Emerging gram-negative infections in burn wounds. Incidence of infection with multidrug-resistant Gram-negative bacteria and vancomycin-resistant enterococci in carriers: a systematic review and meta-regression analysis. ESCMID/EUCIC clinical practice guidelines on perioperative antibiotic prophylaxis in patients colonized by multidrug-resistant Gram-negative bacteria before surgery. European Society of Clinical Microbiology and Infectious Diseases (ESCMID) guidelines for the treatment of infections caused by multidrug-resistant Gram-negative bacilli (endorsed by European society of intensive care medicine). Systematic review and meta-analysis of in vitro efficacy of antibiotic combination therapy against carbapenem-resistant Gram-negative bacilli. ESCMID guidelines for the management of the infection control measures to reduce transmission of multidrug-resistant Gram-negative bacteria in hospitalized patients."
"Porphyrias, Hepatic",C0162533,Disease or Syndrome,"A rare sub-group of porphyrias characterized by the occurrence of neuro-visceral attacks with or without cutaneous manifestations. Acute hepatic porphyrias encompass four diseases: acute intermittent porphyria (the most common), variagate porphyria, hereditary coproporphyria, and hereditary deficit of delta-aminolevulinic acid dehydratase (extremely rare). ","Acute hepatic porphyrias: Recommendations for diagnosis and management with real-world examples. Expert consensus statement on acute hepatic porphyria in Belgium. Acute hepatic porphyrias: Recommendations for evaluation and long-term management. Update on the Porphyrias. Givosiran: A Review in Acute Hepatic Porphyria. Phase 3 Trial of RNAi Therapeutic Givosiran for Acute Intermittent Porphyria. Hepatic porphyria: A narrative review. The porphyrias. Update on the Porphyrias. Acute hepatic porphyrias: Recommendations for diagnosis and management with real-world examples. Porphyria: a case report. Porphyric neuropathy. Hereditary coproporphyria. Chemistry, structure and function of approved oligonucleotide therapeutics. Therapeutic siRNA: State-of-the-Art and Future Perspectives. Delivery of Oligonucleotides to the Liver with GalNAc: From Research to Registered Therapeutic Drug. Phase 3 Trial of RNAi Therapeutic Givosiran for Acute Intermittent Porphyria. Givosiran: First Approval. Porphyria: a case report. Acute hepatic porphyria and maternal health: Clinical and biochemical follow-up of 44 pregnancies. The Nonclinical Disposition and Pharmacokinetic/Pharmacodynamic Properties of N-Acetylgalactosamine-Conjugated Small Interfering RNA Are Highly Predictable and Build Confidence in Translation to Human. Neurology of the acute hepatic porphyrias. Hepatic porphyria: A narrative review. Disease burden in patients with acute hepatic porphyria: experience from the phase 3 ENVISION study. Acute hepatic porphyria and maternal health: Clinical and biochemical follow-up of 44 pregnancies. The Nonclinical Disposition and Pharmacokinetic/Pharmacodynamic Properties of N-Acetylgalactosamine-Conjugated Small Interfering RNA Are Highly Predictable and Build Confidence in Translation to Human. Phase 3 Trial of RNAi Therapeutic Givosiran for Acute Intermittent Porphyria. Porphyrinurias and occupational disease. New-onset and relapsed liver diseases following COVID-19 vaccination: a systematic review."
Vaso-occlusive pain episode in sickle cell disease,C4708695,Disease or Syndrome,,"Ketamine use for management of vaso-occlusive pain in pediatric sickle cell disease. Advances in the Treatment of Sickle Cell Disease. Asthma morbidity and treatment in children with sickle cell disease. Sickle cell disease: an update. Neuropathic pain in individuals with sickle cell disease. Advances in the Treatment of Sickle Cell Disease. Magnesium for treating sickle cell disease. Crises in Sickle Cell Disease. Stroke and presence of patent foramen ovale in sickle cell disease. Neuropathic pain in individuals with sickle cell disease. New and emerging treatments for vaso-occlusive pain in sickle cell disease. Sickle Cell Disease in the Emergency Department. Sickle cell disease in the emergency department. Ketamine for Pain in Sickle Cell Disease Reduces Opioid Usage. Pain in sickle cell disease: current and potential translational therapies. New and emerging treatments for vaso-occlusive pain in sickle cell disease. Magnesium for treating sickle cell disease. Crises in Sickle Cell Disease. The challenge of clinical end points in sickle cell disease. Stroke and presence of patent foramen ovale in sickle cell disease. Neuropathic pain in individuals with sickle cell disease. Sickle cell disease complications: Prevalence and resource utilization. Advances in the Treatment of Sickle Cell Disease. Ketamine for Pain in Sickle Cell Disease Reduces Opioid Usage. Pain Control for Sickle Cell Crisis, a Novel Approach? A Retrospective Study. Neuropathic pain in individuals with sickle cell disease. Magnesium for treating sickle cell disease. Magnesium for treating sickle cell disease. Pain Control for Sickle Cell Crisis, a Novel Approach? A Retrospective Study. Inhaled nitric oxide for treating pain crises in people with sickle cell disease. A systematic review of ketamine for the management of vaso-occlusive pain in sickle cell disease. Magnesium for treating sickle cell disease. Magnesium for treating sickle cell disease."
Metastatic human epidermal growth factor 2 positive carcinoma of breast,C4721209,Neoplastic Process,,"Optimizing treatment management of trastuzumab deruxtecan in clinical practice of breast cancer. Diagnosis and Treatment of ERBB2-Positive Metastatic Colorectal Cancer: A Review. Breast Cancer Treatment: A Review. Metastatic HER2-Positive Breast Cancer: Is There an Optimal Sequence of Therapy? Real-World Perspectives and Practices for Pneumonitis/Interstitial Lung Disease Associated With Trastuzumab Deruxtecan Use in Human Epidermal Growth Factor Receptor 2-Expressing Metastatic Breast Cancer. Elacestrant: First Approval. Biomarkers of neoadjuvant/adjuvant chemotherapy for breast cancer. Breast Cancer Treatment: A Review. Germline-mediated immunoediting sculpts breast cancer subtypes and metastatic proclivity. ESR1 mutations in HR+/HER2-metastatic breast cancer: Enhancing the accuracy of ctDNA testing. Metastatic HER2-Positive Breast Cancer: Is There an Optimal Sequence of Therapy? Bioinformatics analysis of prognostic significance of COL10A1 in breast cancer. Breast Cancer Treatment: A Review. Metastatic HER2-Positive Breast Cancer: Is There an Optimal Sequence of Therapy? Systemic therapy for hormone receptor-positive/human epidermal growth factor receptor 2-negative early stage and metastatic breast cancer. Overall Survival with Ribociclib plus Letrozole in Advanced Breast Cancer. Novel HER2-targeted therapies for HER2-positive metastatic breast cancer. Breast Cancer Treatment: A Review. Metastatic HER2-Positive Breast Cancer: Is There an Optimal Sequence of Therapy? Biomarkers of neoadjuvant/adjuvant chemotherapy for breast cancer. Breast Cancer Treatment: A Review. Updated results from MONALEESA-2, a phase III trial of first-line ribociclib plus letrozole versus placebo plus letrozole in hormone receptor-positive, HER2-negative advanced breast cancer. Adjuvant paclitaxel and trastuzumab for node-negative, HER2-positive breast cancer. ESR1 mutations in HR+/HER2-metastatic breast cancer: Enhancing the accuracy of ctDNA testing. Dermatologic toxicities to inhibitors of cyclin-dependent kinases CDK 4 and 6: An updated review for clinical practice. Biomarkers of neoadjuvant/adjuvant chemotherapy for breast cancer. Bioinformatics analysis of prognostic significance of COL10A1 in breast cancer. Breast Cancer Treatment: A Review. Safety profile of cyclin-dependent kinase (CDK) 4/6 inhibitors with concurrent radiation therapy: A systematic review and meta-analysis. Second-line Endocrine Therapy of Hormone Receptor-positive/HER2- negative Advanced Breast Cancer: A Systematic Review and Network Meta-analysis. Evaluation of pathological complete response as surrogate endpoint in neoadjuvant randomised clinical trials of early stage breast cancer: systematic review and meta-analysis. Endocrine Treatment and Targeted Therapy for Hormone Receptor-Positive, Human Epidermal Growth Factor Receptor 2-Negative Metastatic Breast Cancer: ASCO Guideline Update. The incidence of brain metastases among patients with metastatic breast cancer: a systematic review and meta-analysis."
Lower limb spasticity,C1271100,Finding,"Spasticity (velocity-dependent increase in tonic stretch reflexes with increased muscle tone and hyperexcitable tendon reflexes) in the muscles of the lower limbs, hips, and pelvis ","A consensus statement on the use of botulinum toxin in pediatric patients. Evidence-based guidelines on the therapeutic use of repetitive transcranial magnetic stimulation (rTMS): An update (2014-2018). Practice guideline update summary: Botulinum neurotoxin for the treatment of blepharospasm, cervical dystonia, adult spasticity, and headache: Report of the Guideline Development Subcommittee of the American Academy of Neurology. The Effectiveness of Additional Core Stability Exercises in Improving Dynamic Sitting Balance, Gait and Functional Rehabilitation for Subacute Stroke Patients (CORE-Trial): Study Protocol for a Randomized Controlled Trial. IncobotulinumtoxinA for upper- and lower-limb spasticity in Japanese patients. Evidence-based guidelines on the therapeutic use of repetitive transcranial magnetic stimulation (rTMS): An update (2014-2018). Effect of Transcutaneous Electrical Nerve Stimulation on Spasticity in Adults With Stroke: A Systematic Review and Meta-analysis. Comparison of transcutaneous electrical nerve stimulation (TENS) and functional electrical stimulation (FES) for spasticity in spinal cord injury - A pilot randomized cross-over trial. Outcome Measures and Biomarkers for Clinical Trials in Hereditary Spastic Paraplegia: A Scoping Review. Infantile onset ascending hereditary spastic paralysis. OnabotulinumtoxinA for Lower Limb Spasticity: Guidance From a Delphi Panel Approach. Do clinical tests of spasticity accurately reflect muscle function during walking: A systematic review. Systematic Literature Review of AbobotulinumtoxinA in Clinical Trials for Lower Limb Spasticity. The Effectiveness of Additional Core Stability Exercises in Improving Dynamic Sitting Balance, Gait and Functional Rehabilitation for Subacute Stroke Patients (CORE-Trial): Study Protocol for a Randomized Controlled Trial. Evidence-based guidelines on the therapeutic use of repetitive transcranial magnetic stimulation (rTMS): An update (2014-2018). Efficacy of botulinum toxin in modifying spasticity to improve walking and quality of life in post-stroke lower limb spasticity - a randomized double-blind placebo controlled study. Adjuvant treatments associated with botulinum toxin injection for managing spasticity: An overview of the literature. Comparison of transcutaneous electrical nerve stimulation (TENS) and functional electrical stimulation (FES) for spasticity in spinal cord injury - A pilot randomized cross-over trial. The clinical and genetic spectrum of autosomal-recessive TOR1A-related disorders. Infantile onset ascending hereditary spastic paralysis. Genetics in hereditary spastic paraplegias: Essential but not enough. GCH1 mutations in hereditary spastic paraplegia. Systematic Literature Review of AbobotulinumtoxinA in Clinical Trials for Lower Limb Spasticity. Clinical presentation of patients with lower limb spasticity undergoing routine treatment with botulinum toxin: baseline findings from an international observational study. Treatment of adult spasticity with Botox (onabotulinumtoxinA): Development, insights, and impact. The clinical and genetic spectrum of autosomal-recessive TOR1A-related disorders. GCH1 mutations in hereditary spastic paraplegia. Clinical and pharmacological properties of incobotulinumtoxinA and its use in neurological disorders. AbobotulinumtoxinA Doses in Upper and Lower Limb Spasticity: A Systematic Literature Review. Effect of Transcutaneous Electrical Nerve Stimulation on Spasticity in Adults With Stroke: A Systematic Review and Meta-analysis. A systematic review: efficacy of botulinum toxin in walking and quality of life in post-stroke lower limb spasticity. Do clinical tests of spasticity accurately reflect muscle function during walking: A systematic review. Systematic Literature Review of AbobotulinumtoxinA in Clinical Trials for Lower Limb Spasticity."
