Generic Name,Brand Names,DrugBank Accession Number,Summary,Background,Weight,Chemical Formula
Entecavir,Baraclude,DB00442,"Entecaviris a nucleoside analogue used in the treatment of chronic hepatitis B for patients with active viral replication, histological evidence of active disease, or persistent elevations in liver transaminases.","Entecavir is an oral antiviral drug used in the treatment of hepatitis B infection. It is marketed under the trade name Baraclude (BMS).Entecavir is a guanine analogue that inhibits all three steps in the viral replication process, and the manufacturer claims that it is more efficacious than previous agents used to treat hepatitis B (lamivudine and adefovir). It was approved by the U.S. Food and Drug Administration (FDA) in March 2005.",Average: 277.2792Monoisotopic: 277.117489371,C12H15N5O3
Alatrofloxacin,,DB09335,Alatrofloxacinis a fluoroquinolone antibiotic used to treat a variety of bacterial infections.,"Alatrofloxacin is a fluoroquinolone antibiotic developed by Pfizer, delivered as a mesylate salt. It was withdrawn from the U.S. market in 2001.",Average: 558.518Monoisotopic: 558.183852418,C26H25F3N6O5
Epalrestat,,DB15293,,Epalrestat is under investigation in clinical trial NCT03244358 (Evaluation of Epalrestat in Metastatic Triple-negative Breast Cancer).,Average: 319.39Monoisotopic: 319.033685631,C15H13NO3S2
Eperisone,,DB08992,"Eperisoneis an antispasmodic that functions through voltage-gated channel blockade, notably with little to no sedation, effective in relaxing skeletal muscles and vascular smooth muscles.","Eperisone is an antispasmodic drug which relaxes both skeletal muscles and vascular smooth muscles, and demonstrates a variety of effects such as reduction of myotonia, improvement of circulation, and suppression of the pain reflex. It is not approved for use in the United States, but is available in other countries like India, South Korea, and Bangladesh.",Average: 259.3865Monoisotopic: 259.193614427,C17H25NO
Ephedrine,"Akovaz, Bronkaid, Corphedra, Emerphed, Primatene, Rezipres",DB01364,"Ephedrineis an alpha and beta-adrenergic agonist indicated to treat hypotension under anesthesia, allergic conditions, bronchial asthma, and nasal congestion.","Ephedrine was first described in western literature in 1888, as a naturally occurring component of the ephedra plant, along withpseudoephedrine.5Ephedrine acts as both a direct and indirect sympathomimetic. It is an alpha- and beta-adrenergic receptor agonist; however, it also causes the indirect release of norepinephrine from sympathetic neurons, inhibiting norepinephrine reuptake and displacing more norepinephrine from storage vesicles.4,8Ephedrine is used for its vasoconstrictive, positive chronotropic, and positive inotropic effects.8Ephedrine andphenylephrineare still used to treat hypotension, but their use in other indications has decreased due to the development of more selective adrenergic agonists.6,7,9Ephedrine was granted a type 7 FDA Approval on 29 April 2016.9",Average: 165.2322Monoisotopic: 165.115364107,C10H15NO
Epinastine,Elestat,DB00751,Epinastineis an H1 receptor antagonist used to prevent itching in allergic conjunctivitis.,"Epinastine is used for the prevention of itching associated with allergic conjunctivitis. It has a multi-action effect that inhibits the allergic response in 3 ways: 1. stabilizes mast cells by preventing mast cell degranulation to control the allergic response, 2. prevents histamine binding to both the H1- and H2-receptors to stop itching and provide lasting protection, and 3. prevents the release of proinflammatory chemical mediators from the blood vessel to halt progression of the allergic response.",Average: 249.3104Monoisotopic: 249.126597495,C16H15N3
Epinephrine,"Adrenalin, Allerject, Anapen, Articadent, Astracaine, Auvi-Q, Citanest, Citanest Forte, Emerade, Epipen, Lignospan, Marcaine, Marcaine With Epinephrine, Octocaine, Octocaine With Epinephrine, Orabloc, Scandonest, Sensorcaine, Sensorcaine With Epinephrine, Septanest, Septocaine, Symjepi, Ultacan, Ultracaine, Vivacaine, Xylocaine, Xylocaine With Epinephrine, Zorcaine",DB00668,"Epinephrineis a hormone and neurotransmitter used to treat allergic reactions, to restore cardiac rhythm, and to control mucosal congestion, glaucoma, and asthma.","Epinephrine, also known asadrenaline, is a hormone and neurotransmitter and produced by the adrenal glands that can also be used as a drug due to its various important functions. Though it has long been used in the treatment of hypersensitivity reactions, epinephrine in the auto-injector form (EpiPen) has been available since 1987 in the USA. Many new products/biosimilars and dosage routes have been approved under various names over the last several decades10,11,12. On August 16, 2018, Teva Pharmaceuticals USA gained approval to market its generic epinephrine auto-injector in 0.3 mg and 0.15 mg strengths8. Dosage delivery routes for epinephrine include intravenous, inhalation, nebulization, intramuscular injection, and subcutaneous injection.In general, the most common uses of parenteral epinephrine are to relieve respiratory distress due to bronchospasm, to provide rapid relief of hypersensitivity (anaphylactic or anaphylactoid) reactions to drugs, animal serums and other allergens, and to prolong the action of infiltration anesthetics20. In addition to the above functions, epinephrine is the primary drug administered during cardiopulmonary resuscitation (CPR) to reverse cardiac arrest3,4. It can be used in severe cases of croup14.",Average: 183.2044Monoisotopic: 183.089543287,C9H13NO3
Albendazole,Albenza,DB00518,Albendazoleis a benzimidazole anthelmintic used to treat parenchymal neurocysticercosis and other helminth infections.,"A benzimidazole broad-spectrum anthelmintic structurally related to mebendazole that is effective against many diseases. (From Martindale, The Extra Pharmacopoeia, 30th ed, p38)",Average: 265.331Monoisotopic: 265.088497429,C12H15N3O2S
Epirubicin,"Ellence, Pharmorubicin PFS",DB00445,Epirubicinis an anthracycline topoisomerase II inhibitor used as an adjuvant to treating axillary node metastases in patients who have undergone surgical resection of primary breast cancer.,An anthracycline which is the 4'-epi-isomer of doxorubicin. The compound exerts its antitumor effects by interference with the synthesis and function of DNA.,Average: 543.5193Monoisotopic: 543.174060775,C27H29NO11
Epitizide,,DB13989,,"Epitizide is an agent, commonly found in combinationtriamterene, used to produce diuresis.",Average: 425.84Monoisotopic: 424.9552316,C10H11ClF3N3O4S3
Eplerenone,Inspra,DB00700,Eplerenoneis an aldosterone receptor antagonist used to improve survival of patients with symptomatic heart failure and to reduce blood pressure.,"Eplerenone, an aldosterone receptor antagonist similar to spironolactone, has been shown to produce sustained increases in plasma renin and serum aldosterone, consistent with inhibition of the negative regulatory feedback of aldosterone on renin secretion. The resulting increased plasma renin activity and aldosterone circulating levels do not overcome the effects of eplerenone. Eplerenone selectively binds to recombinant human mineralocorticoid receptors relative to its binding to recombinant human glucocorticoid, progesterone and androgen receptors.",Average: 414.4914Monoisotopic: 414.204238692,C24H30O6
Epoprostenol,"Flolan, Veletri",DB01240,Epoprostenolis a vasodilator and platelet aggregation inhibitor used for the management of primary pulmonary hypertension and pulmonary hypertension in patients with heart failure.,A prostaglandin that is a powerful vasodilator and inhibits platelet aggregation. It is biosynthesized enzymatically from prostaglandin endoperoxides in human vascular tissue. The sodium salt has been also used to treat primary pulmonary hypertension.,Average: 352.4651Monoisotopic: 352.224974134,C20H32O5
Eprosartan,Teveten HCT,DB00876,"Eprosartanis an ARB used to treat hypertension, diabetic nephropathy, and congestive heart failure.","Eprosartan is an angiotensin II receptor antagonist used to treat hypertension. It performs 2 actions on the renin angiotensin system. By preventing the binding of angiotensin II to AT1, vascular smooth muscle relaxes and vasodilation occurs. By inhibiting norepinephrine production, blood pressure is further reduced.",Average: 424.513Monoisotopic: 424.145677956,C23H24N2O4S
Eptifibatide,Integrilin,DB00063,Eptifibatideis a peptide-based antagonist for glycoprotein IIb/IIIa used in the medical management of myocardial infarction and as an adjunct to percutaneous coronary intervention.,"Synthetic cyclic hexapeptide that binds to platelet receptor glycoprotein and inhibits platelet aggregation. Derived from venom of the Southeastern pygmy rattlesnake (Sistrurus miliarus barbouri), eptifibatide is a cyclic heptapeptide that belongs to the class of arginin-glycin-aspartat-mimetics.",,
Erdosteine,,DB05057,Erdosteineis a mucolytic agent used to treat conditions characterized by pathological mucus such as respiratory tract infections and chronic obstructive pulmonary disease (COPD).,"Erdosteine is a drug that causes a breakdown of mucus, also known as amucolyticagent. It is athiolderivative produced for the clinical management of chronic obstructive bronchitis, in addition to infective exacerbations of chronic bronchitis. This drug contains sulfhydryl groups which are released after erdosteine undergoes hepatic first pass metabolism. Three active metabolites result and possess mucolytic activity in addition to free radical scavenging activity. Erdosteine acts to control mucus production and control its viscosity while increasing mucociliary transport. It also combats the effects of free radicals resulting from cigarette smoke. Erdosteine has been shown to be safe and well tolerated in clinical trials. Erdosteine 300mg twice daily reduced cough (both frequency and severity) and sputum viscosity more quickly and more effectively than placebo and reduced the adhesivity of sputum more effectively than ambroxol 30mg twice daily. Co-administration of erdosteine and amoxicillin in patients with acute infective exacerbation of chronic bronchitis resulted in higher concentrations of the antibiotic in the sputum, leading to earlier and more pronounced amelioration of clinical symptoms compared with placebo. Erdosteine is associated with a low incidence of adverse events, most of which are gastrointestinal and generally mild.",Average: 249.307Monoisotopic: 249.012949225,C8H11NO4S2
Ergometrine,,DB01253,Ergometrineis an ergot alkaloid used for the treatment of postpartum haemorrhage and post abortion hemorrhage in patients with uterine atony.,An ergot alkaloid with uterine and vascular smooth muscle contractile properties.,Average: 325.4048Monoisotopic: 325.179026995,C19H23N3O2
Ergotamine,"Ergomar, Migergot",DB00696,Ergotamineis an alpha-1 selective adrenergic agonist vasoconstrictor used to treat migraines with or without aura and cluster headaches.,A vasoconstrictor found in ergot of Central Europe. It is an alpha-1 selective adrenergic agonist and is commonly used in the treatment of migraine disorders.,Average: 581.6615Monoisotopic: 581.263819255,C33H35N5O5
Erlotinib,Tarceva,DB00530,Erlotinibis an EGFR tyrosine kinase inhibitor used to treat certain small cell lung cancers or advanced metastatic pancreatic cancers.,"Erlotinib is an inhibitor of the epidermal growth factor receptor (EGFR) tyrosine kinase that is used in the treatment of non-small cell lung cancer, pancreatic cancer and several other types of cancer. It is typically marketed under the trade name Tarceva. Erlotinib binds to the epidermal growth factor receptor (EGFR) tyrosine kinase in a reversible fashion at the adenosine triphosphate (ATP) binding site of the receptor. Recent studies demonstrate that erlotinib is also a potent inhibitor of JAK2V617F, which is a mutant form of tyrosine kinase JAK2 found in most patients with polycythemia vera (PV) and a substantial proportion of patients with idiopathic myelofibrosis or essential thrombocythemia. This finding introduces the potential use of erlotinib in the treatment of JAK2V617F-positive PV and other myeloproliferative disorders.",Average: 393.4357Monoisotopic: 393.168856239,C22H23N3O4
Ertapenem,Invanz,DB00303,Ertapenemis a carbapenem antibiotic used for the treatment of moderate to severe infections caused by susceptible bacteria.,"Ertapenem is a 1-β methyl-carbapenem that is structurally related to beta-lactam antibiotics.5It was first authorized for use in the US in November 2001 and in Europe in April 2002.1Shown to be effective against a wide range of Gram-positive and Gram-negative aerobic and anaerobic bacteria, ertapenem is used to treat various bacterial infections.",Average: 475.515Monoisotopic: 475.141320859,C22H25N3O7S
Erythromycin,"Aktipak, Apo-Erythro-S, Benzamycin, E.E.S., Ery, Ery-tab, Erygel, Eryped, Erythro, Erythrocin, Erythrocin Stearate",DB00199,Erythromycinis a macrolide antibiotic used to treat and prevent a variety of bacterial infections.,"Erythromycin is a bacteriostatic antibiotic drug produced by a strain of Saccharopolyspora erythraea (formerly Streptomyces erythraeus) and belongs to the macrolide group of antibiotics which consists ofAzithromycin,Clarithromycin,Spiramycinand others. It was originally discovered in 1952.20Erythromycin is widely used for treating a variety of infections, including those caused by gram-positive and gram-negative bacteria.20,21It is available for administration in various forms, including intravenous, topical, and eye drop preparations.20",Average: 733.9268Monoisotopic: 733.461241235,C37H67NO13
Albuterol,"Airomir, Airsupra, Combivent, Proair, Proventil, Ventolin",DB01001,"Albuterolis a beta-2 adrenergic receptor agonist used to treat asthma, bronchitis, COPD, as well as prevent exercise induced bronchospasms.","Salbutamol (Albuterol [USAN]) is a short-acting, selective beta2-adrenergic receptor agonist used in the treatment of asthma and COPD. It is 29 times more selective for beta2 receptors than beta1 receptors giving it higher specificity for pulmonary beta receptors versus beta1-adrenergic receptors located in the heart. Salbutamol is formulated as a racemic mixture of the R- and S-isomers. The R-isomer has 150 times greater affinity for the beta2-receptor than the S-isomer and the S-isomer has been associated with toxicity. This lead to the development of levalbuterol, the single R-isomer of salbutamol. However, the high cost of levalbuterol compared to salbutamol has deterred wide-spread use of this enantiomerically pure version of the drug. Salbutamol is generally used for acute episodes of bronchospasm caused by bronchial asthma, chronic bronchitis and other chronic bronchopulmonary disorders such as chronic obstructive pulmonary disorder (COPD). It is also used prophylactically for exercise-induced asthma.Label,1,2",Average: 239.3107Monoisotopic: 239.152143543,C13H21NO3
Erythromycin,"Aktipak, Apo-Erythro-S, Benzamycin, E.E.S., Ery, Ery-tab, Erygel, Eryped, Erythro, Erythrocin, Erythrocin Stearate",DB00199,Erythromycinis a macrolide antibiotic used to treat and prevent a variety of bacterial infections.,"Erythromycin is a bacteriostatic antibiotic drug produced by a strain of Saccharopolyspora erythraea (formerly Streptomyces erythraeus) and belongs to the macrolide group of antibiotics which consists ofAzithromycin,Clarithromycin,Spiramycinand others. It was originally discovered in 1952.20Erythromycin is widely used for treating a variety of infections, including those caused by gram-positive and gram-negative bacteria.20,21It is available for administration in various forms, including intravenous, topical, and eye drop preparations.20",Average: 733.9268Monoisotopic: 733.461241235,C37H67NO13
Escitalopram,"Cipralex, Lexapro",DB01175,"Escitalopramis a selective serotonin re-uptake inhibitor used in the treatment of major depressive disorder (MDD), generalized anxiety disorder (GAD), and other select psychiatric disorders such as obsessive-compulsive disorder (OCD).","Escitalopram is a selective serotonin re-uptake inhibitor (SSRI) and the S-enantiomer of racemiccitalopram.11It is used to restore serotonergic function in the treatment of depression and anxiety.18,19,20Escitalopram is approximately 150 times more potent than citalopram’s R-enantiomer and is responsible for the vast majority of citalopram’s clinical activity, with some evidence suggesting that the R-enantiomer of racemic citalopram actively dampens the activity of escitalopram rather than existing simply as an inactive enantiomer.6,14Amongst SSRIs, escitalopram exerts the highest degree of selectivity for the serotonin transporter (SERT) relative to other off-targets which may explain its lower rates of adverse effects as compared to other agents in this class.13Escitalopram also differentiates itself from other SSRIs via allosteric action on its target - this may be the mechanism responsible for its observed superior efficacy and faster onset compared to other SSRIs.16,13,15",Average: 324.3919Monoisotopic: 324.163791509,C20H21FN2O
Esmolol,Brevibloc,DB00187,"Esmololis a cardioselective beta-adrenergic blocker used for the short-term control of ventricular rate and heart rate in various types of tachycardia, including perioperative tachycardia and hypertension.","Esmolol, commonly marketed under the trade name Brevibloc, is a cardioselective beta-1 receptor blocker. It has a rapid onset but short duration of action without causing significant intrinsic sympathomimetic or membrane stabilizing activities at recommended therapeutic doses. It works by blocking beta-adrenergic receptors in the heart, which leads to decreased force and rate of heart contractions. Esmolol prevents the action of two naturally occurring substances: epinephrine and norepinephrine.The FDA withdrew its approval for the use of all parenteral dosage form drug products containing esmolol hydrochloride that supply 250 milligrams/milliliter of concentrated esmolol per 10-milliliter ampule. Other esmolol formulations are still available for use.2",Average: 295.374Monoisotopic: 295.178358293,C16H25NO4
Esomeprazole,"Nexium, Vimovo",DB00736,"Esomeprazoleis a proton pump inhibitor used to treat GERD, reduce the risk of NSAID associated gastric ulcers, eradicate H. pylori, and to treat conditions causing gastric acid hypersecretion.","Esomeprazole, sold under the brand name Nexium, is a proton pump inhibitor (PPI) medication used for the management of gastroesophageal reflux disease (GERD), for gastric protection to prevent recurrence of stomach ulcers or gastric damage from chronic use of NSAIDs, and for the treatment of pathological hypersecretory conditions including Zollinger-Ellison (ZE) Syndrome. It can also be found in quadruple regimens for the treatment ofH. pyloriinfections along with other antibiotics includingAmoxicillin,Clarithromycin, andMetronidazole, for example.7,10Its efficacy is considered similar to other medications within the PPI class includingOmeprazole,Pantoprazole,Lansoprazole,Dexlansoprazole, andRabeprazole. Esomeprazole is the s-isomer ofOmeprazole, which is a racemate of the S- and R-enantiomer. Esomeprazole has been shown to inhibit acid secretion to a similar extent asOmeprazole, without any significant differences between the two compoundsin vitro.Esomeprazole exerts its stomach acid-suppressing effects by preventing the final step in gastric acid production by covalently binding to sulfhydryl groups of cysteines found on the (H+, K+)-ATPase enzyme at the secretory surface of gastric parietal cells. This effect leads to inhibition of both basal and stimulated gastric acid secretion, irrespective of the stimulus. As the binding of esomeprazole to the (H+, K+)-ATPase enzyme is irreversible and new enzyme needs to be expressed in order to resume acid secretion, esomeprazole's duration of antisecretory effect persists longer than 24 hours.LabelPPIs such as esomeprazole have also been shown to inhibit the activity of dimethylarginine dimethylaminohydrolase (DDAH), an enzyme necessary for cardiovascular health. DDAH inhibition causes a consequent accumulation of the nitric oxide synthase inhibitor asymmetric dimethylarginie (ADMA), which is thought to cause the association of PPIs with increased risk of cardiovascular events in patients with unstable coronary syndromes.3,4Due to their good safety profile and as several PPIs are available over the counter without a prescription, their current use in North America is widespread. Long term use of PPIs such as esomeprazole has been associated with possible adverse effects, however, including increased susceptibility to bacterial infections (including gastrointestinalC. difficile), reduced absorption of micronutrients such as iron and B12, and an increased risk of developing hypomagnesemia and hypocalcemia which may contribute to osteoporosis and bone fractures later in life.5Rapid discontinuation of PPIs such as esomeprazole may cause a rebound effect and a short term increase in hypersecretion.6Esomeprazole doses should be slowly lowered, or tapered, before discontinuing to prevent this rebound effect.",Average: 345.416Monoisotopic: 345.114712179,C17H19N3O3S
Omeprazole,"Konvomep, Losec, Omeclamox, Omesec, Previdolrx Analgesic Pak,Prilosec, Talicia, Yosprala, Zegerid, Zegerid Reformulated Aug 2006, Zegerid With Magnesium Hydroxide",DB00338,"Omeprazoleis a proton pump inhibitor used to treat GERD associated conditions such as heartburn and gastric acid hypersecretion, and to promote healing of tissue damage and ulcers caused by gastric acid and H. pylori infection.","Originally approved by the FDA in 1989, omeprazole is aproton-pump inhibitor, used to treat gastric acid-related disorders. These disorders may include gastroesophageal reflux disease (GERD), peptic ulcer disease, and other diseases characterized by the oversecretion of gastric acid. This drug was the first clinical useful drug in its class, and its approval was followed by the formulation of many other proton pump inhibitor drugs6. Omeprazole is generally effective and well-tolerated, promoting its popular use in children and adultsLabel.",Average: 345.416Monoisotopic: 345.114712179,C17H19N3O3S
Estradiol,"Activella 1/0.5 28 Day, Activelle, Angeliq 0.25/0.5 28 Day, Bijuva, Climara, Climara Pro, Combipatch, Divigel, Dotti, Elestrin, Estalis, Estrace, Estradot, Estring, Estrogel, Etyqa 0.5/0.1 28 Day, Evamist, Imvexxy 4 Mcg Starter Pack, Lopreeza 1/0.5 28 Day, Lyllana, Menostar, Mimvey, Minivelle, Myfembree, Oriahnn 28 Day Kit, Vagifem, Vivelle, Yuvafem",DB00783,"Estradiolis an estrogenic steroid used to treat vasomotor symptoms of vulvar and vaginal atrophy in menopause, hypoestrogenism, prevention of postmenopausal osteoporosis, treatment of breast cancer, and advanced androgen-dependent carcinoma of the prostate.","Estradiol is a naturally occurring hormone circulating endogenously in females. It is commercially available in several hormone therapy products for managing conditions associated with reduced estrogen, such as vulvovaginal atrophy and hot flashes. Some available forms of estradiol include oral tablets, injections, vaginal rings, transdermal patches, sprays, gels, and creams.27,28,29,30,31,32,33When used for oral or IM administration, estradiol is commonly synthesized as a pro-drug ester (such asEstradiol acetate,Estradiol benzoate,Estradiol cypionate,Estradiol dienanthate, andEstradiol valerate). Because it has a low oral bioavailability on its own, estradiol is commonly formulated with an ester side-chain.Ethinylestradiol(EE) is a synthetic form of estradiol commonly used as the estrogenic component of most combination oral contraceptive pills (OCPs). Ethinyl estradiol is different from estradiol due to its higher biovailability and increased resistance to metabolism, rendering it more suitable for oral administration.",Average: 272.382Monoisotopic: 272.177630012,C18H24O2
Estradiol cypionate,Depo-estradiol,DB13954,Estradiol cypionateis an estradiol prodrug used to treat vasomotor symptoms and hypoestrogenisms from hypogonadism.,"Estradiol Cypionate is a pro-drug ester ofEstradiol, a naturally occurring hormone that circulates endogenously within the human body. Estradiol is the most potent form of all mammalian estrogenic steroids and acts as the major female sex hormone. As a pro-drug of estradiol, estradiol cypionate therefore has the same downstream effects within the body through binding to the Estrogen Receptor (ER) including ERα and ERβ subtypes, which are located in various tissues and organs such as the breasts, uterus, ovaries, skin, prostate, bone, fat, and brain.Estradiolis commonly produced with an ester side-chain as endogenous estradiol has very low oral bioavailability on its own (2-10%). First-pass metabolism by the gut and the liver quickly degrades the estradiol molecule before it gets a chance to enter systemic circulation and exert its estrogenic effects10. Esterification of estradiol aims to improve absorption and bioavailability after oral administration (such as with Estradiol Valerate) or to sustain release from depot intramuscular injections (such as with Estradiol Cypionate) through improved lipophilicity. Following absorption, the esters are cleaved, resulting in the release of endogenous estradiol, or 17β-estradiol. Ester pro-drugs of estradiol are therefore considered to be bioidentical forms of estrogen11.Estradiol cypionate is commercially available as Depo-Estradiol, an intramuscular depot injection used for the treatment of moderate to severe vasomotor symptoms associated with menopause and for the treatment of hypoestrogenism due to hypogonadismLabel.The primary source of estrogen in normally cycling adult women is the ovarian follicle, which secretes 70 to 500 mcg of estradiol daily, depending on the phase of the menstrual cycle. However, after menopause, most endogenous estrogen is produced by conversion of androstenedione, secreted by the adrenal cortex, to estrone by peripheral tissues. Thus, estrone and the sulfate conjugated form, estrone sulfate, are the most abundant circulating estrogens in postmenopausal womenLabel. Although circulating estrogens exist in a dynamic equilibrium of metabolic interconversions, estradiol is the principal intracellular human estrogen and is substantially more potent than its metabolites, estrone and estriol at the receptor level. Because of the difference in potency between estradiol and estrone, menopause (and a change in primary hormone from estradiol to estrone) is associated with a number of symptoms associated with this reduction in potency and in estrogenic effects. These include hot flashes, vaginal dryness, mood changes, irregular menses, chills, and sleeping problems. Administration of synthetic and bioidentical forms of estrogen, such as estradiol cypionate, has shown to improve these menopausal symptoms.",Average: 396.5622Monoisotopic: 396.266445018,C26H36O3
